,counts
2024-08-05 10:00:00+00:00,10721.0
2024-08-05 11:00:00+00:00,10614.0
2024-08-05 12:00:00+00:00,10446.0
2024-08-05 13:00:00+00:00,10563.0
2024-08-05 14:00:00+00:00,10700.0
2024-08-05 15:00:00+00:00,10742.0
2024-08-05 16:00:00+00:00,10653.0
2024-08-05 17:00:00+00:00,10722.0
2024-08-05 18:00:00+00:00,10568.0
2024-08-05 19:00:00+00:00,10518.0
2024-08-05 20:00:00+00:00,10784.0
2024-08-05 21:00:00+00:00,10695.0
2024-08-05 22:00:00+00:00,10640.0
2024-08-05 23:00:00+00:00,10961.0
2024-08-06 00:00:00+00:00,10632.0
2024-08-06 01:00:00+00:00,10761.0
2024-08-06 02:00:00+00:00,10579.0
2024-08-06 03:00:00+00:00,10628.0
2024-08-06 04:00:00+00:00,10558.0
2024-08-06 05:00:00+00:00,10595.0
2024-08-06 06:00:00+00:00,10700.0
2024-08-06 07:00:00+00:00,10376.0
2024-08-06 08:00:00+00:00,10610.0
2024-08-06 09:00:00+00:00,10536.0
2024-08-06 10:00:00+00:00,10545.0
2024-08-06 11:00:00+00:00,10604.0
2024-08-06 12:00:00+00:00,10555.0
2024-08-06 13:00:00+00:00,10956.0
2024-08-06 14:00:00+00:00,10697.0
2024-08-06 15:00:00+00:00,10726.0
2024-08-06 16:00:00+00:00,10582.0
2024-08-06 17:00:00+00:00,10705.0
2024-08-06 18:00:00+00:00,10863.0
2024-08-06 19:00:00+00:00,10791.0
2024-08-06 20:00:00+00:00,10854.0
2024-08-06 21:00:00+00:00,10878.0
2024-08-06 22:00:00+00:00,10850.0
2024-08-06 23:00:00+00:00,10769.0
2024-08-07 00:00:00+00:00,10705.0
2024-08-07 01:00:00+00:00,10583.0
2024-08-07 02:00:00+00:00,10634.0
2024-08-07 03:00:00+00:00,10565.0
2024-08-07 04:00:00+00:00,10682.0
2024-08-07 05:00:00+00:00,10555.0
2024-08-07 06:00:00+00:00,10637.0
2024-08-07 07:00:00+00:00,10851.0
2024-08-07 08:00:00+00:00,10520.0
2024-08-07 09:00:00+00:00,10846.0
2024-08-07 10:00:00+00:00,10751.0
2024-08-07 11:00:00+00:00,10630.0
2024-08-07 12:00:00+00:00,10612.0
2024-08-07 13:00:00+00:00,10668.0
2024-08-07 14:00:00+00:00,10738.0
2024-08-07 15:00:00+00:00,10848.0
2024-08-07 16:00:00+00:00,10881.0
2024-08-07 17:00:00+00:00,10822.0
2024-08-07 18:00:00+00:00,10925.0
2024-08-07 19:00:00+00:00,10758.0
2024-08-07 20:00:00+00:00,10811.0
2024-08-07 21:00:00+00:00,11047.0
2024-08-07 22:00:00+00:00,10811.0
2024-08-07 23:00:00+00:00,10957.0
2024-08-08 00:00:00+00:00,10727.0
2024-08-08 01:00:00+00:00,10896.0
2024-08-08 02:00:00+00:00,10818.0
2024-08-08 03:00:00+00:00,10845.0
2024-08-08 04:00:00+00:00,10561.0
2024-08-08 05:00:00+00:00,10543.0
2024-08-08 06:00:00+00:00,10741.0
2024-08-08 07:00:00+00:00,10691.0
2024-08-08 08:00:00+00:00,10732.0
2024-08-08 09:00:00+00:00,10650.0
2024-08-08 10:00:00+00:00,10896.0
2024-08-08 11:00:00+00:00,10587.0
2024-08-08 12:00:00+00:00,10757.0
2024-08-08 13:00:00+00:00,10824.0
2024-08-08 14:00:00+00:00,10679.0
2024-08-08 15:00:00+00:00,10810.0
2024-08-08 16:00:00+00:00,10773.0
2024-08-08 17:00:00+00:00,10788.0
2024-08-08 18:00:00+00:00,10924.0
2024-08-08 19:00:00+00:00,10972.0
2024-08-08 20:00:00+00:00,10924.0
2024-08-08 21:00:00+00:00,10763.0
2024-08-08 22:00:00+00:00,10709.0
2024-08-08 23:00:00+00:00,10904.0
2024-08-09 00:00:00+00:00,10818.0
2024-08-09 01:00:00+00:00,10879.0
2024-08-09 02:00:00+00:00,10906.0
2024-08-09 03:00:00+00:00,10762.0
2024-08-09 04:00:00+00:00,10585.0
2024-08-09 05:00:00+00:00,10689.0
2024-08-09 06:00:00+00:00,10529.0
2024-08-09 07:00:00+00:00,10649.0
2024-08-09 08:00:00+00:00,10690.0
2024-08-09 09:00:00+00:00,10604.0
2024-08-09 10:00:00+00:00,10741.0
2024-08-09 11:00:00+00:00,10637.0
2024-08-09 12:00:00+00:00,10630.0
2024-08-09 13:00:00+00:00,10879.0
2024-08-09 14:00:00+00:00,10628.0
2024-08-09 15:00:00+00:00,10647.0
2024-08-09 16:00:00+00:00,10922.0
2024-08-09 17:00:00+00:00,10818.0
2024-08-09 18:00:00+00:00,10761.0
2024-08-09 19:00:00+00:00,10706.0
2024-08-09 20:00:00+00:00,10874.0
2024-08-09 21:00:00+00:00,10864.0
2024-08-09 22:00:00+00:00,10694.0
2024-08-09 23:00:00+00:00,10581.0
2024-08-10 00:00:00+00:00,10748.0
2024-08-10 01:00:00+00:00,10558.0
2024-08-10 02:00:00+00:00,10669.0
2024-08-10 03:00:00+00:00,10583.0
2024-08-10 04:00:00+00:00,10604.0
2024-08-10 05:00:00+00:00,10636.0
2024-08-10 06:00:00+00:00,10750.0
2024-08-10 07:00:00+00:00,10546.0
2024-08-10 08:00:00+00:00,10564.0
2024-08-10 09:00:00+00:00,10482.0
2024-08-10 10:00:00+00:00,10650.0
2024-08-10 11:00:00+00:00,10528.0
2024-08-10 12:00:00+00:00,10524.0
2024-08-10 13:00:00+00:00,10558.0
2024-08-10 14:00:00+00:00,10555.0
2024-08-10 15:00:00+00:00,10533.0
2024-08-10 16:00:00+00:00,10681.0
2024-08-10 17:00:00+00:00,10510.0
2024-08-10 18:00:00+00:00,10564.0
2024-08-10 19:00:00+00:00,10630.0
2024-08-10 20:00:00+00:00,10717.0
2024-08-10 21:00:00+00:00,10680.0
2024-08-10 22:00:00+00:00,10728.0
2024-08-10 23:00:00+00:00,10622.0
2024-08-11 00:00:00+00:00,10478.0
2024-08-11 01:00:00+00:00,10442.0
2024-08-11 02:00:00+00:00,10478.0
2024-08-11 03:00:00+00:00,10496.0
2024-08-11 04:00:00+00:00,10333.0
2024-08-11 05:00:00+00:00,10414.0
2024-08-11 06:00:00+00:00,10413.0
