date,mslp,tmpf,counts12,counts13,counts23
2024-07-21 01:00:00,1018.8,78.0,10582.0,5594.0,10294.0
2024-07-21 02:00:00,1018.8,77.0,10766.0,5596.0,10318.0
2024-07-21 03:00:00,1018.5,77.0,10790.0,5687.0,10347.0
2024-07-21 04:00:00,1018.2,76.0,10782.0,5772.0,10567.0
2024-07-21 05:00:00,1018.2,75.0,10683.0,5723.0,10396.0
2024-07-21 06:00:00,1017.9,75.0,10709.0,5754.0,10550.0
2024-07-21 07:00:00,1017.6,74.0,10697.0,5742.0,10492.0
2024-07-21 08:00:00,1017.3,74.0,10708.0,5642.0,10407.0
2024-07-21 09:00:00,1017.5,74.0,10886.0,5753.0,10365.0
2024-07-21 10:00:00,1018.0,75.0,10578.0,5639.0,10375.0
2024-07-21 11:00:00,1018.2,75.0,10617.0,5625.0,10329.0
2024-07-21 12:00:00,1018.6,75.0,10892.0,5821.0,10605.0
2024-07-21 13:00:00,1018.3,78.0,10754.0,5711.0,10461.0
2024-07-21 14:00:00,1018.2,79.0,10676.0,5639.0,10418.0
2024-07-21 15:00:00,1018.0,83.0,10560.0,5569.0,10310.0
2024-07-21 16:00:00,1017.6,82.0,10526.0,5551.0,10339.0
2024-07-21 17:00:00,1017.3,83.0,10478.0,5621.0,10304.0
2024-07-21 18:00:00,1016.3,87.0,10818.0,5685.0,10401.0
2024-07-21 19:00:00,1015.7,86.0,10787.0,5780.0,10396.0
2024-07-21 20:00:00,1015.4,84.0,10746.0,5763.0,10528.0
2024-07-21 21:00:00,1015.6,81.0,10671.0,5661.0,10258.0
2024-07-21 22:00:00,1016.7,77.0,10641.0,5634.0,10476.0
2024-07-21 23:00:00,1017.0,75.0,10637.0,5547.0,10315.0
2024-07-22 00:00:00,1016.8,73.0,10953.0,5774.0,10598.0
2024-07-22 01:00:00,1017.6,73.0,10674.0,5643.0,10370.0
2024-07-22 02:00:00,1018.1,73.0,10623.0,5609.0,10284.0
2024-07-22 03:00:00,1018.3,72.0,10857.0,5665.0,10391.0
2024-07-22 04:00:00,1017.9,72.0,10888.0,5808.0,10474.0
2024-07-22 05:00:00,1017.4,72.0,10737.0,5698.0,10487.0
2024-07-22 06:00:00,1016.9,72.0,10913.0,5788.0,10577.0
2024-07-22 07:00:00,1016.4,72.0,10822.0,5768.0,10460.0
2024-07-22 08:00:00,1016.3,72.0,10768.0,5704.0,10441.0
2024-07-22 09:00:00,1016.6,73.0,10722.0,5621.0,10323.0
2024-07-22 10:00:00,1017.0,73.0,10674.0,5596.0,10365.0
2024-07-22 11:00:00,1017.4,73.0,10771.0,5652.0,10450.0
2024-07-22 12:00:00,1018.1,75.0,10728.0,5662.0,10535.0
2024-07-22 13:00:00,1018.2,76.0,10866.0,5856.0,10609.0
2024-07-22 14:00:00,1018.5,79.0,10711.0,5654.0,10350.0
2024-07-22 15:00:00,1018.6,80.0,10830.0,5739.0,10550.0
2024-07-22 16:00:00,1018.1,82.0,10698.0,5661.0,10366.0
2024-07-22 17:00:00,1017.6,84.0,10772.0,5757.0,10616.0
2024-07-22 18:00:00,1017.2,84.0,10755.0,5696.0,10566.0
2024-07-22 19:00:00,1016.3,85.0,10549.0,5569.0,10278.0
2024-07-22 20:00:00,1015.6,86.0,10736.0,5756.0,10460.0
2024-07-22 21:00:00,1015.2,86.0,10784.0,5585.0,10423.0
2024-07-22 22:00:00,1015.3,85.0,10787.0,5750.0,10502.0
2024-07-22 23:00:00,1015.9,83.0,10614.0,5746.0,10401.0
2024-07-23 00:00:00,1016.7,81.0,10727.0,5676.0,10538.0
2024-07-23 01:00:00,1016.9,79.0,10652.0,5642.0,10436.0
2024-07-23 02:00:00,1017.3,79.0,10741.0,5750.0,10509.0
2024-07-23 03:00:00,1017.5,78.0,10652.0,5610.0,10408.0
2024-07-23 04:00:00,1017.7,77.0,10719.0,5733.0,10552.0
2024-07-23 05:00:00,1017.7,76.0,10707.0,5668.0,10429.0
2024-07-23 06:00:00,1017.3,76.0,10815.0,5715.0,10275.0
2024-07-23 07:00:00,1017.3,76.0,10812.0,5692.0,10493.0
2024-07-23 08:00:00,1017.6,75.0,10900.0,5762.0,10474.0
2024-07-23 09:00:00,1018.2,75.0,10772.0,5643.0,10360.0
2024-07-23 10:00:00,1018.5,75.0,10842.0,5771.0,10565.0
2024-07-23 11:00:00,1018.8,76.0,10518.0,5638.0,10415.0
2024-07-23 12:00:00,1018.9,79.0,10845.0,5696.0,10420.0
2024-07-23 13:00:00,1019.2,82.0,10591.0,5643.0,10550.0
2024-07-23 14:00:00,1019.6,83.0,10491.0,5548.0,10341.0
2024-07-23 15:00:00,1019.5,84.0,10717.0,5707.0,10445.0
2024-07-23 16:00:00,1019.2,86.0,10900.0,5889.0,10576.0
2024-07-23 17:00:00,1018.5,87.0,10944.0,5866.0,10702.0
2024-07-23 18:00:00,1017.7,88.0,10648.0,5689.0,10379.0
2024-07-23 19:00:00,1017.4,86.0,10575.0,5707.0,10505.0
2024-07-23 20:00:00,1017.6,85.0,10650.0,5630.0,10449.0
2024-07-23 21:00:00,1017.6,78.0,10759.0,5696.0,10484.0
2024-07-23 22:00:00,1018.7,81.0,10638.0,5628.0,10385.0
2024-07-23 23:00:00,1019.4,76.0,10737.0,5700.0,10437.0
2024-07-24 00:00:00,1020.2,75.0,10559.0,5662.0,10261.0
2024-07-24 01:00:00,1021.8,75.0,10503.0,5597.0,10223.0
2024-07-24 02:00:00,1021.1,75.0,10635.0,5602.0,10360.0
2024-07-24 03:00:00,1020.6,75.0,10587.0,5713.0,10413.0
2024-07-24 04:00:00,1020.8,75.0,10748.0,5733.0,10428.0
2024-07-24 05:00:00,1021.1,74.0,10684.0,5652.0,10337.0
2024-07-24 06:00:00,1020.5,74.0,10593.0,5589.0,10309.0
2024-07-24 07:00:00,1020.7,73.0,10669.0,5639.0,10274.0
2024-07-24 08:00:00,1020.8,72.0,10586.0,5560.0,10328.0
2024-07-24 09:00:00,1021.4,72.0,10490.0,5631.0,10291.0
2024-07-24 10:00:00,1021.6,72.0,10625.0,5643.0,10448.0
2024-07-24 11:00:00,1022.0,73.0,10461.0,5500.0,10302.0
2024-07-24 12:00:00,1022.6,75.0,10699.0,5641.0,10302.0
2024-07-24 13:00:00,1022.8,76.0,10660.0,5667.0,10425.0
2024-07-24 14:00:00,1022.9,78.0,10670.0,5638.0,10273.0
2024-07-24 15:00:00,1022.8,82.0,10659.0,5659.0,10448.0
2024-07-24 16:00:00,1022.3,84.0,10375.0,5471.0,10191.0
2024-07-24 17:00:00,1021.8,86.0,10527.0,5628.0,10332.0
2024-07-24 18:00:00,1021.0,85.0,10700.0,5666.0,10322.0
2024-07-24 19:00:00,1020.7,87.0,10700.0,5715.0,10427.0
2024-07-24 20:00:00,1020.4,87.0,10515.0,5575.0,10180.0
2024-07-24 21:00:00,1021.0,80.0,10684.0,5652.0,10360.0
2024-07-24 22:00:00,1022.2,74.0,10984.0,5854.0,10683.0
2024-07-24 23:00:00,1021.9,74.0,10629.0,5679.0,10291.0
2024-07-25 00:00:00,1021.1,74.0,10611.0,5644.0,10429.0
2024-07-25 01:00:00,1021.4,74.0,10531.0,5626.0,10263.0
2024-07-25 02:00:00,1021.8,74.0,10579.0,5602.0,10291.0
2024-07-25 03:00:00,1022.0,74.0,10535.0,5646.0,10178.0
2024-07-25 04:00:00,1022.0,74.0,10571.0,5565.0,10271.0
2024-07-25 05:00:00,1021.5,75.0,10560.0,5526.0,10229.0
2024-07-25 06:00:00,1021.1,75.0,10603.0,5566.0,10184.0
2024-07-25 07:00:00,1020.9,74.0,10588.0,5584.0,10297.0
2024-07-25 08:00:00,1020.5,74.0,10632.0,5740.0,10485.0
2024-07-25 09:00:00,1020.7,74.0,10551.0,5497.0,10147.0
2024-07-25 10:00:00,1021.1,74.0,10565.0,5643.0,10369.0
2024-07-25 11:00:00,1021.4,75.0,10535.0,5520.0,10310.0
2024-07-25 12:00:00,1021.8,75.0,10913.0,5735.0,10420.0
2024-07-25 13:00:00,1021.9,75.0,10566.0,5615.0,10437.0
2024-07-25 14:00:00,1021.8,79.0,10739.0,5728.0,10421.0
2024-07-25 15:00:00,1021.6,82.0,10584.0,5630.0,10335.0
2024-07-25 16:00:00,1021.3,82.0,10501.0,5501.0,10235.0
2024-07-25 17:00:00,1020.8,84.0,10521.0,5626.0,10453.0
2024-07-25 18:00:00,1020.0,87.0,10507.0,5611.0,10336.0
2024-07-25 19:00:00,1019.3,86.0,10601.0,5544.0,10370.0
2024-07-25 20:00:00,1020.1,76.0,10531.0,5555.0,10309.0
2024-07-25 21:00:00,1019.1,80.0,10755.0,5631.0,10285.0
2024-07-25 22:00:00,1019.0,80.0,10492.0,5546.0,10220.0
2024-07-25 23:00:00,1018.7,80.0,10451.0,5565.0,10188.0
2024-07-26 00:00:00,1019.4,78.0,10561.0,5586.0,10276.0
2024-07-26 01:00:00,1020.0,78.0,10699.0,5731.0,10554.0
2024-07-26 02:00:00,1019.9,76.0,10452.0,5564.0,10303.0
2024-07-26 03:00:00,1019.6,75.0,10595.0,5620.0,10336.0
2024-07-26 04:00:00,1019.4,75.0,10764.0,5768.0,10602.0
2024-07-26 05:00:00,1018.9,74.0,10731.0,5649.0,10416.0
2024-07-26 06:00:00,1018.5,74.0,10587.0,5607.0,10225.0
2024-07-26 07:00:00,1018.0,73.0,10756.0,5751.0,10561.0
2024-07-26 08:00:00,1018.1,73.0,10589.0,5616.0,10267.0
2024-07-26 09:00:00,1018.0,73.0,10772.0,5645.0,10438.0
2024-07-26 10:00:00,1018.2,73.0,10590.0,5691.0,10465.0
2024-07-26 11:00:00,1018.6,73.0,10652.0,5662.0,10345.0
2024-07-26 12:00:00,1018.9,75.0,10877.0,5818.0,10618.0
2024-07-26 13:00:00,1018.9,76.0,10605.0,5577.0,10388.0
2024-07-26 14:00:00,1018.8,79.0,10599.0,5490.0,10211.0
2024-07-26 15:00:00,1018.5,82.0,10558.0,5586.0,10251.0
2024-07-26 16:00:00,1018.3,81.0,10635.0,5729.0,10507.0
2024-07-26 17:00:00,1017.7,85.0,10786.0,5706.0,10479.0
2024-07-26 18:00:00,1017.1,87.0,10611.0,5671.0,10352.0
2024-07-26 19:00:00,1016.5,89.0,10885.0,5731.0,10458.0
2024-07-26 20:00:00,1016.0,88.0,10640.0,5618.0,10347.0
2024-07-26 21:00:00,1015.6,89.0,10784.0,5730.0,10388.0
2024-07-26 22:00:00,1015.6,88.0,10636.0,5618.0,10482.0
2024-07-26 23:00:00,1016.3,78.0,10601.0,5622.0,10393.0
2024-07-27 00:00:00,1017.0,76.0,10910.0,5836.0,10635.0
2024-07-27 01:00:00,1017.3,76.0,10595.0,5645.0,10406.0
2024-07-27 02:00:00,1017.7,75.0,10567.0,5568.0,10154.0
2024-07-27 03:00:00,1018.1,74.0,10655.0,5632.0,10440.0
2024-07-27 04:00:00,1017.9,73.0,10576.0,5614.0,10231.0
2024-07-27 05:00:00,1017.6,73.0,10838.0,5678.0,10393.0
2024-07-27 06:00:00,1016.8,74.0,10522.0,5598.0,10272.0
2024-07-27 07:00:00,1016.3,74.0,10679.0,5669.0,10462.0
2024-07-27 08:00:00,1016.5,74.0,10681.0,5751.0,10449.0
2024-07-27 09:00:00,1016.7,74.0,10632.0,5606.0,10312.0
2024-07-27 10:00:00,1017.4,75.0,10718.0,5666.0,10615.0
2024-07-27 11:00:00,1018.3,74.0,10564.0,5698.0,10442.0
2024-07-27 12:00:00,1019.0,75.0,10579.0,5589.0,10327.0
2024-07-27 13:00:00,1019.5,76.0,10676.0,5672.0,10474.0
2024-07-27 14:00:00,1019.8,76.0,10595.0,5592.0,10297.0
2024-07-27 15:00:00,1020.0,78.0,10688.0,5657.0,10382.0
2024-07-27 16:00:00,1020.2,79.0,10785.0,5712.0,10436.0
2024-07-27 17:00:00,1019.6,81.0,10534.0,5644.0,10306.0
2024-07-27 18:00:00,1018.6,83.0,10431.0,5497.0,10185.0
2024-07-27 19:00:00,1018.0,83.0,10718.0,5615.0,10302.0
2024-07-27 20:00:00,1017.6,84.0,10541.0,5672.0,10484.0
2024-07-27 21:00:00,1016.9,84.0,10449.0,5484.0,10301.0
2024-07-27 22:00:00,1017.6,83.0,10622.0,5645.0,10314.0
2024-07-27 23:00:00,1018.1,82.0,10437.0,5643.0,10117.0
2024-07-28 00:00:00,1018.4,81.0,10671.0,5615.0,10283.0
2024-07-28 01:00:00,1018.7,81.0,10750.0,5752.0,10474.0
2024-07-28 02:00:00,1019.6,80.0,10790.0,5727.0,10416.0
2024-07-28 03:00:00,1019.5,79.0,10574.0,5542.0,10204.0
2024-07-28 04:00:00,1019.5,78.0,10654.0,5656.0,10243.0
2024-07-28 05:00:00,1019.2,78.0,10557.0,5623.0,10208.0
2024-07-28 06:00:00,1019.0,77.0,10695.0,5692.0,10339.0
2024-07-28 07:00:00,1018.7,77.0,10611.0,5564.0,10237.0
2024-07-28 08:00:00,1019.0,76.0,10538.0,5564.0,10307.0
2024-07-28 09:00:00,1019.4,75.0,10564.0,5646.0,10165.0
2024-07-28 10:00:00,1020.0,75.0,10774.0,5683.0,10421.0
2024-07-28 11:00:00,1020.5,76.0,10492.0,5600.0,10265.0
2024-07-28 12:00:00,1021.1,76.0,10612.0,5519.0,10246.0
2024-07-28 13:00:00,1021.2,77.0,10743.0,5678.0,10456.0
2024-07-28 14:00:00,1021.1,79.0,10646.0,5571.0,10172.0
2024-07-28 15:00:00,1020.8,78.0,10626.0,5705.0,10457.0
2024-07-28 16:00:00,1020.3,79.0,10778.0,5659.0,10364.0
2024-07-28 17:00:00,1020.3,76.0,10754.0,5667.0,10632.0
2024-07-28 18:00:00,1019.6,77.0,10638.0,5750.0,10362.0
2024-07-28 19:00:00,1019.3,76.0,10680.0,5661.0,10458.0
2024-07-28 20:00:00,1018.4,79.0,10474.0,5515.0,10219.0
2024-07-28 21:00:00,1018.6,78.0,10677.0,5614.0,10372.0
2024-07-28 22:00:00,1018.7,78.0,10733.0,5738.0,10530.0
